country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Argentina,5.97,6.44,8.71,9.28,8.09,10.1,11.8,12,11.6,10.2,8.54,10,7.25,7.34,6.83,6.71,9.06,7.29,7.8,6.1,5.85,6.02,5.88,7.05,5.88,7.21,6.07,7.29,7.22
Bolivia,1.13,0.75,0.8,1.53,1.64,1.3,1.32,1.58,1.5,1.46,2.57,1.91,1.8,1.44,1.51,1.7,1.68,1.36,2.23,2.07,1.78,2.25,2.18,2.19,2.39,2.65,2.63,2.57,2.53
Brazil,5.8,5.23,4.63,5.33,5.65,6.09,6.95,6.45,5.96,5.91,6.03,6.13,6.16,5.95,6.11,6.04,6.6,6.99,7.61,8.32,8.99,10.6,11,10.9,9.94,9.02,9.05,9.09,9.02
Chile,17.8,16.8,17,17.6,17.7,16.4,16.5,14.8,13,12.6,11.5,12.1,12.5,14.7,16,15.2,14.9,14.8,15.2,14.2,13.4,13.8,12.7,12.5,12.7,11.4,11.3,11.8,11.6
Colombia,2.93,2.49,3.05,3.81,2.99,4.75,4.8,5.08,5.07,4.37,4.84,5.19,5.12,5.48,5.19,5.7,5.96,6.05,5.52,5.52,5.55,5.97,6.31,6.23,7.49,7.37,7.27,7.16,6.95
Uruguay,5.1,5.83,5.24,7,7.32,6.36,4.72,5.86,6.18,7.95,7.78,7.48,6.5,7.03,5.49,6.72,7.24,7.47,7.5,5.83,5.41,7.19,6.46,7.49,9.21,8.61,8.24,9.23,9.2
Canada,23.7,23.3,23.2,23.4,23.4,22.6,23.4,23.2,24.1,25,23.5,24.8,24,25,24.2,23.6,23.7,23.4,22.3,23,22.1,22.7,21.7,22.5,23,22.2,22.7,22.4,21.9
United States,21.9,21,21.9,22.9,22.4,22,21,21,21.7,21.6,22,21.5,22.6,24,24.9,23.3,24.2,22.5,21.6,21.4,21.8,21.4,21.3,21.5,21.8,21.9,21.9,22.4,22.2
Switzerland,14.2,14.8,14.1,14.1,14.7,14.6,14.6,14.8,15.1,15.6,15.8,16.4,15.6,15.7,16.1,15.9,17,17.3,17.8,18.1,18.1,18,16.9,17.8,16.9,17.2,17.6,16.9,16.8
Germany,13.8,13,13.4,13,13.8,13.7,13.3,13.6,14.7,12.2,13.3,15,13.7,13.9,13.4,14,14.8,15.4,14.7,14.3,14.2,14.3,13.6,12.6,13.1,12.9,13.8,12.8,12.7
Spain,35.1,35,37.2,40.1,42.1,42.1,42.7,41.5,47,44.3,42.3,42.8,42.2,43.8,41.8,40.8,44.6,43.7,42.2,42,42.4,41.9,40.5,42.4,44.1,43.6,42.5,42.5,42.4
France,31.6,30.9,30.7,30.4,30.5,30.9,31.2,30.8,32.4,31.9,31.3,33.9,34.3,33.7,33,34.2,34.7,33.5,34.2,34.5,34.8,34.9,33.2,33.5,33.9,33.5,33.6,34.4,33.3
United Kingdom,18.5,17.9,18.4,18.3,18.9,19.2,20,20.9,19.4,19.8,20.4,21.4,20.9,19.6,21.4,20.9,22.6,21.7,21.3,20,19.6,20.4,20.2,20.8,20.1,20,19.9,19.7,18.6
Italy,21.3,23.1,21.9,21.3,21.3,21.1,21.4,21.4,22.4,22.5,22.5,24.4,23.8,24.5,24.1,25.2,26,25.7,24.7,24.8,25.6,25.9,25.2,25.1,28.2,29.4,29.8,29.8,29.8
