,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,,,,,,,,
Argentina,5.41,5.4,5.39,5.37,5.36,5.34,5.33,5.31,5.3,5.28,5.26,5.24,5.24,5.23,5.22,5.22,5.21,5.21,5.2,5.19,5.18,5.17,5.14,5.12,5.1,5.09,5.08,5.07,5.07,,,,,,,5.015517241,0.055413495
Bolivia,4.93,4.93,4.92,4.91,4.89,4.88,4.86,4.84,4.82,4.81,4.8,4.79,4.78,4.77,4.77,4.77,4.76,4.76,4.76,4.76,4.75,4.75,4.75,4.74,4.74,4.73,4.73,4.72,4.71,,,,,,,5.425517241,0.162801066
Brazil,4.91,4.91,4.9,4.89,4.88,4.87,4.86,4.86,4.86,4.85,4.85,4.85,4.85,4.85,4.86,4.87,4.88,4.89,4.89,4.9,4.9,4.9,4.9,4.89,4.89,4.89,4.88,4.88,4.87,,,,,,,5.562586207,0.178129382
Chile,5.11,5.12,5.11,5.11,5.1,5.1,5.09,5.09,5.1,5.1,5.11,5.11,5.12,5.13,5.13,5.14,5.14,5.14,5.14,5.13,5.12,5.1,5.09,5.07,5.06,5.04,5.03,5.01,5,,,,,,,4.84862069,0.055037918
Colombia,4.9,4.91,4.92,4.93,4.94,4.95,4.96,4.97,4.98,4.99,5,5.01,5.02,5.03,5.04,5.05,5.06,5.07,5.07,5.06,5.05,5.04,5.02,4.99,4.97,4.95,4.92,4.89,4.87,,,,,,,4.332241379,0.118246762
Uruguay,5.28,5.28,5.27,5.26,5.24,5.22,5.21,5.2,5.19,5.18,5.16,5.15,5.14,5.14,5.14,5.13,5.12,5.11,5.1,5.09,5.07,5.04,5,4.96,4.92,4.89,4.86,4.82,4.79,,,,,,,4.805114943,0.064054372
,5.09,5.091666667,5.085,5.078333333,5.068333333,5.06,5.051666667,5.045,5.041666667,5.035,5.03,5.025,5.025,5.025,5.026666667,5.03,5.028333333,5.03,5.026666667,5.021666667,5.011666667,5,4.983333333,4.961666667,4.946666667,4.931666667,4.916666667,4.898333333,4.885,5.015517241,0.055413495,,,,,4.681586207,0.041817219
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.524597701,0.248312022
Canada,5.65,5.63,5.61,5.58,5.57,5.55,5.53,5.51,5.49,5.48,5.47,5.45,5.43,5.42,5.4,5.39,5.37,5.35,5.33,5.31,5.3,5.28,5.26,5.24,5.23,5.21,5.18,5.16,5.14,,,,,,,,
United States,5.73,5.71,5.69,5.67,5.66,5.64,5.62,5.61,5.59,5.57,5.54,5.52,5.5,5.48,5.46,5.44,5.42,5.4,5.38,5.36,5.33,5.31,5.29,5.26,5.24,5.22,5.2,5.17,5.15,,,,,,,,
,5.69,5.67,5.65,5.625,5.615,5.595,5.575,5.56,5.54,5.525,5.505,5.485,5.465,5.45,5.43,5.415,5.395,5.375,5.355,5.335,5.315,5.295,5.275,5.25,5.235,5.215,5.19,5.165,5.145,5.425517241,0.162801066,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,5.97,5.95,5.92,5.9,5.88,5.86,5.83,5.81,5.78,5.76,5.73,5.7,5.67,5.64,5.61,5.58,5.54,5.5,5.47,5.44,5.4,5.38,5.35,5.33,5.3,5.29,5.27,5.25,5.24,,,,,,,,
Germany,5.76,5.77,5.78,5.78,5.79,5.8,5.81,5.82,5.83,5.83,5.83,5.83,5.83,5.82,5.81,5.8,5.78,5.76,5.73,5.7,5.67,5.63,5.59,5.56,5.51,5.47,5.44,5.4,5.37,,,,,,,,
