,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,,,,,,
Argentina,5.37,5.36,5.35,5.33,5.32,5.3,5.28,5.27,5.25,5.23,5.21,5.2,5.18,5.18,5.17,5.16,5.16,5.15,5.14,5.14,5.13,5.11,5.09,5.07,5.05,5.04,5.03,5.03,5.03,,,,,4.923517241,0.044151218
Bolivia,4.84,4.84,4.83,4.82,4.81,4.79,4.76,4.74,4.72,4.7,4.68,4.67,4.66,4.65,4.65,4.64,4.64,4.63,4.63,4.63,4.62,4.61,4.61,4.6,4.59,4.59,4.59,4.58,4.58,,,,,5.366724138,0.161102651
Brazil,4.86,4.86,4.86,4.86,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.86,4.86,4.86,4.87,4.88,4.88,4.88,4.88,4.88,4.88,4.88,4.87,4.86,4.85,4.85,4.84,4.83,,,,,5.612758621,0.161294537
Chile,5.02,5.02,5.01,5,5,4.99,4.99,4.99,4.99,5,5,5,5.01,5.02,5.02,5.03,5.04,5.04,5.04,5.04,5.04,5.03,5.02,5.01,5,4.99,4.98,4.97,4.97,,,,,4.715724138,0.070343492
Colombia,4.88,4.89,4.89,4.89,4.89,4.89,4.9,4.9,4.9,4.91,4.92,4.92,4.92,4.92,4.93,4.93,4.93,4.92,4.92,4.91,4.9,4.88,4.87,4.85,4.83,4.82,4.8,4.79,4.77,,,,,4.083017241,0.074304451
,4.994,4.994,4.988,4.98,4.974,4.964,4.956,4.95,4.942,4.938,4.932,4.928,4.926,4.926,4.926,4.926,4.93,4.924,4.922,4.92,4.914,4.902,4.894,4.88,4.866,4.858,4.85,4.842,4.836,4.923517241,0.044151218,,,4.62954023,0.091069371
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.645724138,0.030003448
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.48408046,0.223940002
Canada,5.64,5.62,5.59,5.57,5.54,5.52,5.5,5.48,5.46,5.45,5.43,5.41,5.39,5.37,5.35,5.33,5.31,5.29,5.27,5.25,5.24,5.22,5.21,5.19,5.18,5.16,5.14,5.12,5.09,,,,,,
United States,5.63,5.61,5.59,5.57,5.55,5.54,5.53,5.51,5.49,5.48,5.46,5.44,5.42,5.41,5.39,5.38,5.36,5.34,5.32,5.3,5.28,5.26,5.24,5.21,5.18,5.16,5.13,5.1,5.07,,,,,,
