country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Argentina,6.01,6.04,5.87,5.89,5.02,6.81,5.76,5.25,6.59,5.42,5.97,6.44,8.71,9.28,8.09,10.1,11.8,12,11.6,10.2,8.54,10,7.25,7.34,6.83,6.71,9.06,7.29,7.8
Bolivia,3.14,2.79,1.02,1.11,1.35,1.35,0.99,1.09,0.74,1.12,1.13,0.75,0.8,1.53,1.64,1.3,1.32,1.58,1.5,1.46,2.57,1.91,1.8,1.44,1.51,1.7,1.68,1.36,2.23
Brazil,6.59,5.91,6.44,6.43,6.74,6.62,7.26,7.12,5.89,6.22,5.8,5.23,4.63,5.33,5.65,6.09,6.95,6.45,5.96,5.91,6.03,6.13,6.16,5.95,6.11,6.04,6.6,6.99,7.61
Chile,15.9,16.6,13.8,15.1,14,16.5,15,15.9,16.1,17.5,17.8,16.8,17,17.6,17.7,16.4,16.5,14.8,13,12.6,11.5,12.1,12.5,14.7,16,15.2,14.9,14.8,15.2
Colombia,3.69,4.38,3.71,2.43,3.59,3.05,3.7,3.34,3.22,2.75,2.93,2.49,3.05,3.81,2.99,4.75,4.8,5.08,5.07,4.37,4.84,5.19,5.12,5.48,5.19,5.7,5.96,6.05,5.52
Uruguay,6.81,4.47,3.21,2.98,3.49,2.77,3.85,5.18,3.81,5.8,5.1,5.83,5.24,7,7.32,6.36,4.72,5.86,6.18,7.95,7.78,7.48,6.5,7.03,5.49,6.72,7.24,7.47,7.5
,7.023333333,6.698333333,5.675,5.656666667,5.698333333,6.183333333,6.093333333,6.313333333,6.058333333,6.468333333,6.455,6.256666667,6.571666667,7.425,7.231666667,7.5,7.681666667,7.628333333,7.218333333,7.081666667,6.876666667,7.135,6.555,6.99,6.855,7.011666667,7.573333333,7.326666667,7.643333333
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,20.6,22.1,19.5,20,18.8,19.3,21.6,24.6,24.4,24.4,23.7,23.3,23.2,23.4,23.4,22.6,23.4,23.2,24.1,25,23.5,24.8,24,25,24.2,23.6,23.7,23.4,22.3
United States,15.5,17.2,16.5,17.4,19.2,19,18.9,21.1,20.1,22.4,21.9,21,21.9,22.9,22.4,22,21,21,21.7,21.6,22,21.5,22.6,24,24.9,23.3,24.2,22.5,21.6
,18.05,19.65,18,18.7,19,19.15,20.25,22.85,22.25,23.4,22.8,22.15,22.55,23.15,22.9,22.3,22.2,22.1,22.9,23.3,22.75,23.15,23.3,24.5,24.55,23.45,23.95,22.95,21.95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,9.69,9.48,9.42,10.1,10.4,10.9,11.8,12.5,13.6,14,14.2,14.8,14.1,14.1,14.7,14.6,14.6,14.8,15.1,15.6,15.8,16.4,15.6,15.7,16.1,15.9,17,17.3,17.8
Germany,11.4,11.2,11,11.6,11.6,10.9,12,10.9,11.3,12.4,13.8,13,13.4,13,13.8,13.7,13.3,13.6,14.7,12.2,13.3,15,13.7,13.9,13.4,14,14.8,15.4,14.7
Spain,32.3,31.8,31.6,32.8,32.8,34.1,34.4,34.9,35.8,35.1,35.1,35,37.2,40.1,42.1,42.1,42.7,41.5,47,44.3,42.3,42.8,42.2,43.8,41.8,40.8,44.6,43.7,42.2
France,24.8,25.7,25.2,26.1,25.4,26.3,27.8,28.9,30.1,29.3,31.6,30.9,30.7,30.4,30.5,30.9,31.2,30.8,32.4,31.9,31.3,33.9,34.3,33.7,33,34.2,34.7,33.5,34.2
United Kingdom,16,17.7,17.5,17.1,17.6,18.5,17.9,18.1,18.8,19.1,18.5,17.9,18.4,18.3,18.9,19.2,20,20.9,19.4,19.8,20.4,21.4,20.9,19.6,21.4,20.9,22.6,21.7,21.3
