country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Argentina,72.5,73.1,73,73.2,73.2,73.3,73.6,74,74.4,74.7,75,75.6,75.7,75.9,76,76.2,76.4,76.5,76.8,77,77.2,77.6,78.1,77.3,78.1,78.5,78.7,78.5,78.9
Bolivia,52.5,52.9,53.4,53.7,54.2,54.7,55.2,55.8,56.5,57.2,57.9,58.6,59.1,60,60.7,61.3,61.9,62.5,63.2,63.9,64.4,65,65.6,66,66.2,66.7,67.1,67.4,67.9
Brazil,64.2,64.7,65.3,65.8,66.3,66.7,67.2,67.7,68.1,68.5,69,69.3,69.8,70.2,70.6,71.1,71.6,72,72.4,72.8,73.4,74,74.2,74.4,74.9,75.4,75.7,75.9,76.1
Chile,71.9,72.9,73.6,73.6,74.2,74.5,74.9,75.3,75.5,75.7,76,76.8,77.1,77.2,77.7,77.8,78.2,78.9,78.7,79.1,80,79.9,80.6,80.4,80.7,81.1,80.9,80.5,81.3
Colombia,69.6,70,70.4,70.7,71,69.2,71.7,72,72.4,72.8,73.1,73.3,73.5,73.8,74,74.2,74.5,74.8,75.1,75.2,75.5,75.7,76,76.3,76.5,76.8,77.1,77.4,77.7
Uruguay,74.4,74.7,75.1,75.4,75.7,76,76.3,76.6,76.8,77,77.2,77.4,77.6,77.8,78,78.3,78.5,78.8,79.1,79.3,79.5,79.8,79.9,80.1,80.3,80.4,80.5,80.6,80.7
,67.51666667,68.05,68.46666667,68.73333333,69.1,69.06666667,69.81666667,70.23333333,70.61666667,70.98333333,71.36666667,71.83333333,72.13333333,72.48333333,72.83333333,73.15,73.51666667,73.91666667,74.21666667,74.55,75,75.33333333,75.73333333,75.75,76.11666667,76.48333333,76.66666667,76.71666667,77.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,78.7,79.1,79.2,79.5,79.8,79.7,79.8,80.1,80.2,80.4,80.6,80.7,81,80.8,80.9,81,81.1,81.2,81.4,81.6,81.8,81.9,81.9,82.1,82.4,82.4,82.8,82.8,83
United States,77.5,77.8,78.1,78.1,78.2,78.2,78.3,78.4,78.3,78.6,78.8,79,79.2,78.9,79.1,79.1,79.2,79.4,79.4,79.3,79.4,79.5,79.6,79.7,80.1,80.1,80.4,80.6,80.6
,78.1,78.45,78.65,78.8,79,78.95,79.05,79.25,79.25,79.5,79.7,79.85,80.1,79.85,80,80.05,80.15,80.3,80.4,80.45,80.6,80.7,80.75,80.9,81.25,81.25,81.6,81.7,81.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,78.9,79.1,79.4,79.6,80,80.2,80.3,80.7,80.7,80.9,80.7,81.1,81.3,81.4,81.7,81.7,82,82,82.5,82.5,82.6,83,82.9,83,83.5,83.7,83.8,84,84.2
Germany,76.1,76.3,76.6,76.9,77.4,77.5,77.6,78.1,78.3,78.5,78.4,78.7,79.1,79.2,79.5,79.7,79.9,80.3,80.5,80.7,81,81.3,81.3,81.4,81.9,82,82.2,82.4,82.4
Spain,78.6,78.8,79.3,79.1,79.7,79.7,79.9,80.2,80.3,80.5,80.6,80.8,81.3,81.3,81.7,81.8,82,82.4,82.4,82.4,82.8,83.2,83.2,83.1,83.7,83.6,84.2,84.2,84.3
France,78.4,78.5,78.9,78.8,79.4,79.4,79.7,80.3,80.5,80.7,81,81.2,81.5,81.5,81.9,81.9,82,82.3,82.4,82.5,82.8,82.9,83,83,83.9,83.8,84.2,84.4,84.4
United Kingdom,76.6,76.9,76.9,77.2,77.6,77.4,77.7,78,78.1,78.1,78.5,78.6,79,78.8,79.3,79.2,79.4,79.6,79.7,79.8,80.2,80.4,80.5,80.5,81.1,81.2,81.5,81.6,81.7
Italy,77.4,77.8,78.2,78,78.8,78.8,79.1,79.6,79.7,80.2,80.3,80.3,80.7,80.8,81.1,81.3,81.5,81.8,81.8,82.2,82.5,82.8,83,82.9,83.8,83.7,84.1,84,84.1
,77.66666667,77.9,78.21666667,78.26666667,78.81666667,78.83333333,79.05,79.48333333,79.6,79.81666667,79.91666667,80.11666667,80.48333333,80.5,80.86666667,80.93333333,81.13333333,81.4,81.55,81.68333333,81.98333333,82.26666667,82.31666667,82.31666667,82.98333333,83,83.33333333,83.43333333,83.51666667
