,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Argentina,27.9,28.3,28.8,29.3,29.7,30.2,30.7,31.2,31.7,32.1,32.6,33.1,33.5,34,34.4,34.8,35.2,35.7,36.1,36.5,36.9,37.3,37.7,38.1,38.5,38.9,39.3,39.7,40.1,40.5,40.9
Bolivia,5.58,5.7,5.81,5.93,6.05,6.18,6.31,6.44,6.58,6.72,6.86,7.01,7.16,7.31,7.47,7.62,7.78,7.94,8.1,8.26,8.42,8.58,8.74,8.91,9.07,9.23,9.4,9.56,9.72,9.88,10
Brazil,121,124,126,129,132,135,138,141,144,146,149,152,154,157,159,162,165,167,170,172,175,177,180,182,184,186,188,190,192,194,196
Chile,11.4,11.6,11.7,11.9,12.1,12.3,12.4,12.6,12.8,13.1,13.3,13.5,13.7,13.9,14.2,14.4,14.6,14.8,15,15.2,15.3,15.5,15.7,15.8,16,16.2,16.4,16.5,16.7,16.9,17.1
Colombia,26.9,27.5,28.1,28.7,29.3,30,30.6,31.2,31.8,32.5,33.1,33.8,34.4,35.1,35.8,36.4,37.1,37.7,38.4,39,39.6,40.3,40.9,41.5,42.1,42.6,43.2,43.7,44.3,44.8,45.2
Uruguay,2.92,2.93,2.95,2.97,2.99,3.01,3.03,3.05,3.07,3.09,3.11,3.13,3.15,3.18,3.2,3.22,3.25,3.27,3.29,3.31,3.32,3.33,3.33,3.32,3.32,3.32,3.33,3.33,3.34,3.35,3.36
,32.61666667,33.33833333,33.89333333,34.63333333,35.35666667,36.115,36.84,37.58166667,38.325,38.91833333,39.66166667,40.42333333,40.985,41.74833333,42.345,43.07333333,43.82166667,44.40166667,45.14833333,45.71166667,46.42333333,47.00166667,47.72833333,48.27166667,48.83166667,49.375,49.93833333,50.465,51.02666667,51.57166667,52.09333333
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,24.4,24.7,24.9,25.2,25.4,25.7,26.1,26.4,26.8,27.2,27.5,27.9,28.2,28.5,28.9,29.2,29.5,29.7,30,30.3,30.6,30.9,31.2,31.5,31.8,32.2,32.5,32.9,33.3,33.7,34.1
United States,229,232,234,236,238,240,243,245,247,250,252,255,257,260,262,265,268,272,275,279,282,285,287,290,292,295,298,301,303,306,309
,126.7,128.35,129.45,130.6,131.7,132.85,134.55,135.7,136.9,138.6,139.75,141.45,142.6,144.25,145.45,147.1,148.75,150.85,152.5,154.65,156.3,157.95,159.1,160.75,161.9,163.6,165.25,166.95,168.15,169.85,171.55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,6.28,6.3,6.32,6.36,6.4,6.44,6.47,6.51,6.55,6.6,6.65,6.72,6.79,6.87,6.94,7,7.04,7.07,7.09,7.12,7.14,7.18,7.22,7.27,7.32,7.39,7.46,7.54,7.62,7.71,7.81
Gerany,78.3,78.1,77.9,77.8,77.7,77.7,77.8,78,78.3,78.7,79.1,79.5,80,80.4,80.8,81.1,81.3,81.4,81.4,81.4,81.4,81.5,81.5,81.6,81.6,81.6,81.5,81.3,81.1,80.9,80.8
Spain,37.7,38,38.2,38.4,38.6,38.7,38.9,39,39,39.1,39.2,39.3,39.4,39.5,39.7,39.8,39.9,40,40.2,40.5,40.8,41.3,41.9,42.6,43.3,44,44.7,45.4,46.1,46.6,46.9
France,53.9,54.1,54.4,54.7,55,55.3,55.5,55.8,56.1,56.4,56.7,56.9,57.1,57.4,57.6,57.8,58,58.2,58.4,58.7,59,59.4,59.8,60.3,60.7,61.1,61.5,61.9,62.2,62.5,62.9
United Kingdom,56.2,56.2,56.2,56.3,56.3,56.4,56.5,56.7,56.8,57,57.1,57.3,57.4,57.6,57.8,57.9,58.1,58.3,58.5,58.7,58.9,59.1,59.3,59.6,59.9,60.3,60.8,61.5,62.1,62.8,63.5
Italy,56.3,56.5,56.6,56.8,56.9,56.9,57,57,57,57,57,57.1,57.1,57.2,57.2,57.2,57.1,56.9,56.7,56.7,56.7,56.9,57.2,57.6,57.9,58.3,58.5,58.7,58.9,59.1,59.3
,48.11333333,48.2,48.27,48.39333333,48.48333333,48.57333333,48.695,48.835,48.95833333,49.13333333,49.29166667,49.47,49.63166667,49.82833333,50.00666667,50.13333333,50.24,50.31166667,50.38166667,50.52,50.65666667,50.89666667,51.15333333,51.495,51.78666667,52.115,52.41,52.72333333,53.00333333,53.26833333,53.535
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,43.3,44.4,45.5,46.7,48,49.3,50.6,52,53.4,54.8,56.1,57.4,58.7,59.9,61.1,62.3,63.6,64.9,66.2,67.5,68.8,70.2,71.5,72.8,74.2,75.5,76.9,78.2,79.6,81.1,82.8
Iraq,13.7,14,14.4,14.8,15.2,15.6,15.9,16.3,16.6,17,17.4,17.9,18.4,19,19.5,20.1,20.8,21.4,22.1,22.8,23.5,24.2,24.9,25.6,26.3,26.9,27.4,27.9,28.4,29,29.7
Morocco,20,20.5,21,21.5,22,22.5,23,23.4,23.9,24.4,24.8,25.3,25.7,26.2,26.6,27,27.4,27.8,28.1,28.5,28.8,29.1,29.5,29.8,30.1,30.5,30.8,31.2,31.5,31.9,32.3
